onset,duration,description
1970-01-01 00:00:00.000000,19.313112552898517,BAD_
1970-01-01 00:00:29.091163,0.510427521053078,BAD_
1970-01-01 00:00:31.933638,0.8507125350884621,BAD_
1970-01-01 00:00:55.172663,1.0123479167552674,BAD_
1970-01-01 00:01:02.298350,0.45938476894777125,BAD_
1970-01-01 00:01:03.632542,0.7486270308778487,BAD_
1970-01-01 00:01:03.666571,0.7486270308778487,BAD_
1970-01-01 00:01:05.369422,0.5869916492110434,BAD_
1970-01-01 00:01:09.824966,0.6380344013163466,BAD_
1970-01-01 00:01:13.121020,0.8847410364920023,BAD_
1970-01-01 00:01:13.155049,0.8847410364920023,BAD_
1970-01-01 00:01:16.925131,0.9698122900008457,BAD_
1970-01-01 00:01:19.175903,23.090276208691293,BAD_
1970-01-01 00:01:19.209932,23.090276208691293,BAD_
1970-01-01 00:01:56.015494,0.8422054097375877,BAD_
1970-01-01 00:02:00.540190,0.5614702731583918,BAD_
1970-01-01 00:02:04.323671,1.5057611871065717,BAD_
1970-01-01 00:02:39.670411,0.7911626576322703,BAD_
1970-01-01 00:02:39.704440,0.7911626576322703,BAD_
1970-01-01 00:02:44.066405,26.82161967824939,BAD_
1970-01-01 00:02:44.100434,26.82161967824939,BAD_
1970-01-01 00:03:31.471732,6.55899364553207,BAD_
1970-01-01 00:03:31.505761,6.55899364553207,BAD_
1970-01-01 00:03:39.270576,1.0038407914043717,BAD_
1970-01-01 00:03:39.304605,1.0038407914043717,BAD_
1970-01-01 00:03:54.040884,0.731612780176107,BAD_
1970-01-01 00:03:54.074913,0.731612780176107,BAD_
1970-01-01 00:03:56.024933,0.7826555322814102,BAD_
1970-01-01 00:04:00.454955,0.8081769083340475,BAD_
1970-01-01 00:04:04.986270,0.6720629027198868,BAD_
1970-01-01 00:04:05.020299,0.6720629027198868,BAD_
1970-01-01 00:04:11.144032,0.5529631478075032,BAD_
1970-01-01 00:04:13.368821,52.59467323201983,BAD_
1970-01-01 00:04:13.402850,52.59467323201983,BAD_
1970-01-01 00:05:09.977902,0.5189346464039772,BAD_
1970-01-01 00:05:32.817093,1.420689933597771,BAD_
1970-01-01 00:05:48.437973,0.6040058999128064,BAD_
1970-01-01 00:05:48.472002,0.6040058999128064,BAD_
1970-01-01 00:05:54.099339,1.0463764181587862,BAD_
1970-01-01 00:05:54.133368,1.0463764181587862,BAD_
1970-01-01 00:06:09.074913,5.053232458425498,BAD_
1970-01-01 00:06:09.108942,5.053232458425498,BAD_
1970-01-01 00:06:23.744369,1.7099321955278128,BAD_
1970-01-01 00:06:26.968570,2.1778240898264585,BAD_
1970-01-01 00:06:32.444969,2.5436304799144978,BAD_
1970-01-01 00:06:44.287591,0.7996697829831305,BAD_
1970-01-01 00:06:44.321620,0.7996697829831305,BAD_
1970-01-01 00:06:50.520029,0.5189346464039772,BAD_
1970-01-01 00:06:50.554058,0.5189346464039772,BAD_
1970-01-01 00:07:11.150651,1.0463764181587862,BAD_
1970-01-01 00:07:11.184680,1.0463764181587862,BAD_
1970-01-01 00:07:17.391597,0.9953336660535116,BAD_
1970-01-01 00:07:17.425626,0.9953336660535115,BAD_
1970-01-01 00:07:23.564485,1.0548835435096748,BAD_
1970-01-01 00:07:23.598514,1.0548835435096748,BAD_
1970-01-01 00:07:32.714867,0.7741484069305216,BAD_
1970-01-01 00:07:32.748896,0.7741484069305216,BAD_
1970-01-01 00:07:41.464824,5.358965634569586,BAD_
1970-01-01 00:07:41.498853,5.358965634569586,BAD_
